Nummer,Probenbezeichnung,Konzentration_ppm,Matrix,Polymer,Alterung,mProben_mg,dHm_J/g,Tm_C
L274,ZF Elbe-PE-60ppm-2,60,Sediment Elbe,Polyethylen,,22.14,0.0002017,130.0
L275,ZF Elbe-PE-60ppm-2,60,Sediment Elbe,Polyethylen,,19.57,0.3376,123.8
L276,ZF Elbe-PE-60ppm-2,60,Sediment Elbe,Polyethylen,,23.15,0.05289,130.2
L277,ZF Elbe-PE-60ppm-3,60,Sediment Elbe,Polyethylen,,19.7,-0.03799,130.5
L278,ZF Elbe-PE-60ppm-3,60,Sediment Elbe,Polyethylen,,20.76,-0.1801,110.8
L279,ZF Elbe-PE-60ppm-3,60,Sediment Elbe,Polyethylen,,22.64,-0.1094,91.6
L280,ZF Elbe-PE-40ppm-1,40,Sediment Elbe,Polyethylen,,18.38,-0.2384,96.7
L281,ZF Elbe-PE-40ppm-1,40,Sediment Elbe,Polyethylen,,19.19,0.04544,149.4
L282,ZF Elbe-PE-40ppm-1,40,Sediment Elbe,Polyethylen,,21.65,-0.1731,99.7
L283,ZF Elbe-PE-40ppm-2,40,Sediment Elbe,Polyethylen,,17.38,0.04048,130.7
L284,ZF Elbe-PE-40ppm-2,40,Sediment Elbe,Polyethylen,,20.73,-0.008536,130.7
L285,ZF Elbe-PE-40ppm-2,40,Sediment Elbe,Polyethylen,,19.02,-0.003908,130.9
L286,ZF Elbe-PE-40ppm-3,40,Sediment Elbe,Polyethylen,,19.59,0.02697,148.2
L287,ZF Elbe-PE-40ppm-3,40,Sediment Elbe,Polyethylen,,16.85,-0.05265,145.6
L288,ZF Elbe-PE-40ppm-3,40,Sediment Elbe,Polyethylen,,20.36,0.09062,130.2
L289,ZF Elbe-PE-20ppm-1,20,Sediment Elbe,Polyethylen,,20.77,0.04022,130.3
L290,ZF Elbe-PE-20ppm-1,20,Sediment Elbe,Polyethylen,,21.92,0.004094,148.0
L291,ZF Elbe-PE-20ppm-1,20,Sediment Elbe,Polyethylen,,18.83,-0.1908,110.5
L292,ZF Elbe-PE-20ppm-2,20,Sediment Elbe,Polyethylen,,18.07,-0.2336,95.8
L293,ZF Elbe-PE-20ppm-2,20,Sediment Elbe,Polyethylen,,20.52,-0.07968,99.3
L294,ZF Elbe-PE-20ppm-2,20,Sediment Elbe,Polyethylen,,18.51,-0.04353,148.3
L295,ZF Elbe-PE-20ppm-3,20,Sediment Elbe,Polyethylen,,21.85,0.3379,148.3
L296,ZF Elbe-PE-20ppm-3,20,Sediment Elbe,Polyethylen,,20.1,0.1119,148.0
L297,ZF Elbe-PE-20ppm-3,20,Sediment Elbe,Polyethylen,,19.13,-0.05172,123.4
L322,DS Elbe-PE-100ppm-1,100,Sediment Elbe,Polyethylen,,0.95,94.65,130.8
L323,DS Elbe-PE-100ppm-1,100,Sediment Elbe,Polyethylen,,0.96,109.1,131.5
L324,DS Elbe-PE-100ppm-1,100,Sediment Elbe,Polyethylen,,1.12,67.87,130.9
L325,DS Elbe-PE-100ppm-2,100,Sediment Elbe,Polyethylen,,1.15,12.9,130.4
L326,DS Elbe-PE-100ppm-2,100,Sediment Elbe,Polyethylen,,1.04,48.14,130.8
L327,DS Elbe-PE-100ppm-2,100,Sediment Elbe,Polyethylen,,1.0,31.14,130.8
L328,DS Elbe-PE-60ppm-1,60,Sediment Elbe,Polyethylen,,0.91,75.85,131.4
L329,DS Elbe-PE-60ppm-1,60,Sediment Elbe,Polyethylen,,0.95,57.2,130.6
L330,DS Elbe-PE-60ppm-1,60,Sediment Elbe,Polyethylen,,0.97,77.42,130.8
