Probe,"[-25, -5)","[-5, 15)","[15, 35)","[35, 55)","[55, 75)","[75, 95)","[95, 115)","[115, 135)","[135, 155)","[155, 175)","[175, 195)","[195, 215)","[215, 235)","[235, 255)","[255, 275)"
L279_S5,-0.4329249108919517,-0.430605726003639,-0.4307106952633812,-0.43009553960763136,-0.42837847861724465,-0.42622003405637454,-0.4242916629568069,-0.41309515725710966,-0.41909896630853716,-0.41574536090197434,-0.41195136177454017,-0.40812523879002705,-0.4040742516154585,-0.3990973786067208,-0.39318307324266094
L280_S5,-0.42432421741247434,-0.4290685316851039,-0.4344819581936312,-0.43849598260373296,-0.4409585238697912,-0.44230858565055325,-0.44407368002114095,-0.42708571196792716,-0.4453312524419065,-0.444966777566377,-0.4438800043803303,-0.4422395226511129,-0.4403159012710185,-0.43781071583886827,-0.43494770165168234
L281_S5,-0.41316540040878724,-0.4187635687014206,-0.42411009316218673,-0.4286729398345705,-0.4316942148953097,-0.4336743690585936,-0.4350890098382313,-0.42259945389182485,-0.4403565305973318,-0.44231065289421256,-0.44258646691805226,-0.44232952770469347,-0.441426670186356,-0.4402731583842303,-0.43843107288595395
L282_S5,-0.4468023731597769,-0.4522947056865745,-0.45935374048953737,-0.46446146080022244,-0.4679461523183696,-0.47025805217317784,-0.4713750887346375,-0.4470550195646062,-0.48181581988905386,-0.4842965163916149,-0.4866878343471027,-0.4885471227183273,-0.4894808155467417,-0.48921182819900194,-0.4886305798718992
L283_S5,-0.4418844778154728,-0.4388851771398772,-0.4388811702967516,-0.4385652931895093,-0.4383856205664455,-0.4369680689812007,-0.4343609117238383,-0.41877999297436097,-0.42971874517220227,-0.42765059226076174,-0.4249629211827621,-0.4220933914913238,-0.4191872291008677,-0.415780255795799,-0.4118971437283889
L284_S5,-0.40543479610560984,-0.40204829508541684,-0.4001829105453569,-0.3997323047436283,-0.3986600948581926,-0.39784731361166853,-0.3970765361404422,-0.3946295552411319,-0.3874450682142493,-0.383625103329754,-0.3786281366226239,-0.37366830411092405,-0.3683386965320858,-0.36231278998142197,-0.3554466759352817
L285_S5,-0.4133688642702252,-0.4151213051852248,-0.4154838197945311,-0.415032616553772,-0.413645905994773,-0.4117199103087719,-0.40831437481248684,-0.4004723166012187,-0.3950045501090324,-0.39212664401056535,-0.38697558327163345,-0.38205772252625175,-0.3770897858063797,-0.3720675291909127,-0.36638716351873
L286_S5,-0.44336189128169307,-0.4416486519944952,-0.4422724526195545,-0.442587906311508,-0.4426856105360134,-0.44195233331459277,-0.4401811554865016,-0.4245130837491453,-0.44043919708405477,-0.43893932438099015,-0.4368116601816205,-0.43463804321362226,-0.4319234250218021,-0.4276948589359391,-0.42414529499352654
L287_S5,-1.4266741055302745,-1.4092315464836485,-1.4230469991034682,-1.4238533908234292,-1.4273799370535654,-1.4242151960689031,-1.3760899759801906,-1.0443717193029642,-1.510184459282258,-1.526876016098572,-1.5471992943691903,-1.5594959382874118,-1.5705585905763324,-1.5783055394682026,-1.5901976580030668
L288_S5,-0.4016160145856564,-0.4020620118699368,-0.40253593599710696,-0.4026918667562812,-0.4020323877377419,-0.40067608789399695,-0.3987824957556623,-0.3950852974511662,-0.3879623476163176,-0.38590825405313145,-0.38230345106132224,-0.37786853994468494,-0.37313960899984416,-0.3674186140427531,-0.3616125490371283
L289_S5,-0.4151693660792313,-0.4117222859811827,-0.41017211904958345,-0.40894801350492493,-0.4071309231551331,-0.4046193763649724,-0.4021104036652111,-0.39783778542984394,-0.39217260907872176,-0.3888394571257027,-0.3870220960880081,-0.3825045897220992,-0.37759665659723596,-0.37158857309224697,-0.36507278238662116
L290_S5,-0.40796326911734865,-0.4039613292997984,-0.40251185271917017,-0.40077716182420775,-0.3975652603488621,-0.39398410020703284,-0.3919813630571849,-0.39096412056791496,-0.3793453894755341,-0.37561304039084326,-0.3713280302871513,-0.3671192521859152,-0.3629563962812472,-0.3573042776353753,-0.3503235004152388
L291_S5,-0.40549614199348055,-0.40064643970747854,-0.39936407909550603,-0.39800127286386233,-0.39576473451354827,-0.3927837913044504,-0.3918950811600531,-0.39173473921397295,-0.3805812943760454,-0.37603213042440436,-0.3701395476342708,-0.364649639838546,-0.359447887897372,-0.35337531713076553,-0.34648708984224624
L292_S5,-0.3862866996382237,-0.3914635096975267,-0.3963706168452886,-0.40054497136185674,-0.40328000948391807,-0.40470762235644886,-0.40781711861585884,-0.4031044106484756,-0.4036567028926782,-0.40274143404979684,-0.40061025403025213,-0.39781650208299396,-0.3953293720905166,-0.3915131467967386,-0.38687090899834237
L293_S5,-0.4104815178144425,-0.4085866290399235,-0.40864238491396876,-0.40854861125438835,-0.40736812323001503,-0.40530981953902423,-0.40483585201233085,-0.3998225793114051,-0.3955783046356936,-0.3919955772433127,-0.38759227906115107,-0.3827335499461201,-0.3779436263422785,-0.3722910420369567,-0.3658803692037375
L294_S5,-0.3872314263114331,-0.3890127775299633,-0.3917439515616541,-0.39374560289719046,-0.39451964515251314,-0.39499320946141636,-0.3966632912647057,-0.3964729959238589,-0.3919614412215483,-0.39073830714262925,-0.3884455486580909,-0.38670245700181866,-0.38519816602274254,-0.3831663864677699,-0.3798690865109409
L295_S5,-0.43767921720193376,-0.43284064742808853,-0.4318078223693906,-0.4300790783435095,-0.4271865693441723,-0.42326787880448186,-0.41909280022524203,-0.4085679554958278,-0.40981412843343756,-0.40576648740015403,-0.40071049716899043,-0.3947350132748795,-0.3888968479805225,-0.3828014675354532,-0.3761409015280426
L296_S5,-0.42831170012407216,-0.4281879141189235,-0.430766889578567,-0.4331018862656834,-0.43472801229433344,-0.43561414668604814,-0.43480443094944565,-0.4211249938005374,-0.435655999575056,-0.4376763909014749,-0.4373313206128395,-0.4369663318365097,-0.43492661505215896,-0.4328858307481442,-0.43166062924634013
L297_S5,-0.3931431250392431,-0.39408615889774,-0.39641610748139144,-0.3979986737168957,-0.3981502413164535,-0.39762833281800475,-0.39784626148590757,-0.39688243277565444,-0.3926612416784603,-0.39249395458052044,-0.39100696133913004,-0.387891471130699,-0.3843598498602237,-0.3797513534595061,-0.3748660787150715
L298_S5,-0.3859544094122572,-0.38774626109262184,-0.39070837061037206,-0.3923801843573951,-0.3929791108583511,-0.3929798935077314,-0.3943578995220434,-0.3942552129766332,-0.38602091289842827,-0.3831785054561522,-0.38016466345320343,-0.3774879922620021,-0.37448945326523325,-0.3700954464608512,-0.36537282850536495
L299_S5,-0.4118485086824954,-0.4132219877553633,-0.4167325823542166,-0.4189772552667722,-0.420907942451034,-0.42221709783190114,-0.4236074626497266,-0.4166226507052575,-0.42856468827834737,-0.42876304167417206,-0.42773604737281645,-0.4267744437955285,-0.4260505545721561,-0.4241642682657751,-0.4220509432293598
L300_S5,-0.42727086489319865,-0.42790717726241534,-0.4308846300484802,-0.4324650952588626,-0.43294268076986625,-0.43142818173851244,-0.42914010008861714,-0.417275799968836,-0.4274368227466224,-0.42659558568978934,-0.42532058870178013,-0.42242183098509156,-0.4183776330291018,-0.41297722224694133,-0.4078965288118052
L322_S5,2.606765877966004,2.693089264701873,2.734447487178171,2.784063315013162,2.8379020058990645,2.881944060227756,2.9773274767986875,3.0116467009588277,3.0302600467743566,3.0592351207560893,3.0978905248909547,3.1528197002302334,3.2192842227434557,3.2670325457452742,3.2914228232500173
L323_S5,2.6784710414351802,2.770209599534505,2.8301383781803517,2.9015438915218636,2.97210406819428,3.0870277444190255,3.2010412988865315,3.3223873373545634,3.26068182903366,3.257420208653963,3.296732012946992,3.3681504747776874,3.4639964727693964,3.54351337481502,3.618317844937699
L324_S5,2.2730442479491937,2.287199551781415,2.298804180606309,2.3198833910099315,2.3130736266923084,2.2920955968114596,2.2963362508046865,2.1365192984800356,2.2787062767734243,2.29942893518037,2.3292846790392536,2.366434493844411,2.407069965407038,2.469655028970041,2.50087146039789
L325_S5,1.642636522854602,1.4889796246646134,1.3902116779652414,1.3207678315136167,1.254367812041309,1.173361942423846,1.0602057849471358,0.7131237814086938,1.079943183202705,1.04907624721312,1.015660095648253,1.016404482180342,1.0237357455439402,1.0367651095830752,1.0494050784253046
L326_S5,2.3460540339670866,2.222394146090789,2.151666948064859,2.108960881904433,2.068612359482487,2.0335184999351874,1.9824782814002653,1.7546438833330653,1.9827627097454896,1.9888573305797757,1.9861893046133585,1.9918358293960305,2.004453103983983,2.015631256107139,2.0271292406200496
L327_S5,2.780072100926694,2.8578571092600438,2.9011233939124126,2.912158807733521,2.8765335412263666,2.84165159419362,2.689820301521819,2.0203035726468204,2.8706858990768147,2.8781065117916818,2.8830638649591647,2.894448351156938,2.9309492597384446,2.9562622612499454,2.986531929986926
L328_S5,3.480489798122301,3.5544484654162787,3.5985216045664523,3.565704782283463,3.526449084477181,3.474617212463813,3.4060682785166185,3.005198557967872,3.4704615440142246,3.4281613717865347,3.427417790002353,3.4339804867737382,3.446479546066097,3.4487857417200343,3.4657637995243684
L329_S5,3.495389691854638,3.6023072410586643,3.695668195923924,3.7506332225758388,3.783633054635831,3.7816184800702732,3.754551021868285,3.0889425294799384,4.078248471843161,4.14912486911656,4.205497815382481,4.280969095903825,4.3567868852599165,4.419080094573535,4.492439515693767
L330_S5,2.9956609771022906,2.949560214941979,2.939220463688645,2.922363925106777,2.932253611485734,2.9330989541386323,2.9608188738141346,2.7935450516804163,3.06128371521739,3.121100253007604,3.1610805917710927,3.1624510304813707,3.2171907609931654,3.246559073146756,3.2838179229916085
L331_S5,1.3910621488540316,1.493960646349956,1.5319658519011907,1.5600297063784467,1.544747130757725,1.5557203841961127,1.5638188381893139,1.5217825229722493,1.6891616326680614,1.7235013335190088,1.7605227526309721,1.7838752055080045,1.818398146336954,1.8755130295663869,1.9105217651689559
L332_S5,1.307913932434034,1.4966116435715107,1.6010705880076692,1.6502608260891505,1.668391679399744,1.6723693285402745,1.6476288346541708,1.444919040269642,1.7471001996199784,1.7861601478611093,1.7756610704706641,1.797728088579277,1.8228419982169728,1.841259305786259,1.846691058514808
