Probe,"[-25, -5)","[-5, 15)","[15, 35)","[35, 55)","[55, 75)","[75, 95)","[95, 115)","[115, 135)","[135, 155)","[155, 175)","[175, 195)","[195, 215)","[215, 235)","[235, 255)","[255, 275)",Overall_Cluster
L135_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L136_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L137_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L138_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L139_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L140_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L141_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L142_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L143_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L144_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L145_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L146_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L147_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L148_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L149_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L150_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L151_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L152_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L153_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L154_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L155_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L156_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L157_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L158_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L159_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L160_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L161_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L162_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
